pid,still_employed,state,IP.Qualification,apply.time,first.accept.time,date.diff,first.shift,fifth.shift,day.diff.first_fifth,termination_date,IP.Application.Source,Prior.Work.History..years.,Prior.Work.History..distinct.jobs.
2994,Yes,MA,RN,3/15/17,5/13/17,59,5/13/17,5/18/17,5,,Unknown,2,1
2997,Yes,MA,RN,3/15/17,3/16/17,1,3/17/17,4/9/17,23,2/13/20,Unknown,3,1
3049,Yes,MA,LPN,3/16/17,3/21/17,5,3/27/17,4/17/17,21,,Unknown,2,1
3061,Yes,MA,LPN,3/16/17,3/18/19,732,3/24/19,4/6/19,13,,Unknown,4,1
3075,Yes,MA,RN,3/18/17,8/17/18,517,8/19/18,10/27/18,69,,Unknown,6,1
3081,Yes,MA,RN,3/19/17,4/29/17,41,5/1/17,6/9/17,39,,Unknown,0,1
3111,Yes,MA,CNA,3/22/17,10/1/17,193,10/1/17,8/20/18,323,,Unknown,6,1
3140,Yes,MA,CNA,3/24/17,4/16/17,23,4/24/17,6/2/17,39,2/13/20,Unknown,5,1
3144,Yes,MA,CNA,3/24/17,6/12/19,810,6/16/19,6/23/19,7,11/22/20,Unknown,2,1
3177,Yes,MA,CNA,3/26/17,3/29/17,3,3/30/17,4/11/17,12,,Unknown,1,1
3189,Yes,MA,RN,3/27/17,3/30/17,3,4/3/17,5/27/17,54,,Unknown,6,1
3282,Yes,MA,CNA,4/3/17,4/6/17,3,4/6/17,4/17/17,11,9/2/20,Unknown,2,1
3285,Yes,MA,CNA,4/3/17,4/26/17,23,4/29/17,2/10/18,287,,Unknown,2,1
3331,Yes,MA,RN,4/5/17,7/25/18,476,7/29/18,1/15/19,170,,Unknown,2,1
3666,Yes,MA,LPN,4/19/17,2/11/18,298,4/22/18,3/12/19,324,2/18/20,Unknown,1,1
3755,Yes,MA,LPN,4/20/17,6/15/17,56,6/18/17,7/15/17,27,2/13/20,Unknown,3,1
3765,Yes,MA,CNA,4/20/17,8/3/17,105,8/7/17,8/13/17,6,11/22/20,Unknown,5,2
3775,Yes,MA,CNA,4/20/17,11/28/17,222,11/30/17,2/11/19,438,,Unknown,6,1
3804,Yes,MA,RN,4/21/17,4/22/17,1,4/26/17,5/10/17,14,,Unknown,1,1
3830,Yes,MA,LPN,4/22/17,9/8/17,139,9/10/17,11/28/17,79,11/22/20,Unknown,2,1
3896,Yes,MA,CNA,4/25/17,5/2/17,7,5/3/17,5/7/17,4,2/13/20,Unknown,3,1
3940,Yes,MA,LPN,4/25/17,3/21/20,1061,5/29/20,9/6/20,100,,Unknown,3,1
3968,Yes,MA,CNA,4/25/17,5/13/17,18,5/14/17,8/20/17,98,2/13/20,Unknown,2,1
3995,Yes,RI,CNA,4/26/17,7/31/19,826,8/3/19,8/10/19,7,,Unknown,2,2
4026,Yes,MA,CNA,4/26/17,4/17/19,721,4/20/19,5/6/19,16,,Unknown,4,1
4037,Yes,MA,CNA,4/27/17,11/6/17,193,11/8/17,11/26/17,18,,Unknown,1,1
